log,Cq
7,17.79563025
7,17.72859516
7,17.65103315
6,20.96746343
6,20.57196102
6,20.4528294
5,24.06640264
5,24.03933228
4,27.71846292
4,27.61875767
3,31.27251754
3,31.41850959
2,35.30003061
2,34.4727345
1,37.16913306
1,37.68526409
