fg,Cq
10000000,18.58473237
1000000,21.52291084
100000,25.1466343
10000,29.01462978
1000,32.38715429
100,35.00879687
10000000,18.48248222
1000000,21.40377941
100000,25.08219555
10000,28.55586795
1000,31.99416186
100,35.27335273
10,37.2496039
10000000,18.43616458
1000000,21.75831919
100000,25.16831039
10000,28.55464148
1000,32.42820157
100,35.34980594
10,38.37227133
