log,Cq
8.182129214,13.05501167
8.182129214,13.1498147
8.182129214,13.28833062
8.182129214,13.05930375
8.182129214,13.24375008
8.182129214,13.4435235
7.182129214,16.29416937
7.182129214,16.51801673
7.182129214,16.78694353
7.182129214,16.35268061
7.182129214,16.54922947
7.182129214,16.62857732
6.182129214,20.91181542
6.182129214,20.05920637
6.182129214,20.30593732
6.182129214,20.82181485
6.182129214,19.70486637
6.182129214,20.61286465
5.182129214,24.09576604
5.182129214,24.09660708
5.182129214,23.97202236
5.182129214,24.08170428
5.182129214,23.95594208
5.182129214,24.01446972
4.182129214,27.36775877
4.182129214,27.40284407
4.182129214,27.40127126
4.182129214,27.1143755
4.182129214,27.245947
4.182129214,27.28090187
3.182129214,31.00909725
3.182129214,31.53468657
3.182129214,30.93573927
3.182129214,31.22873678
3.182129214,31.40343954
3.182129214,31.29650202
2.182129214,35.70432611
2.182129214,35.51347407
2.182129214,34.33936676
2.182129214,37.21766915
2.182129214,34.08627695
2.182129214,34.48854492
